"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","penalty",0.729591836734694,0.955,"substantive"
"pl","bam_fd","penalty",0.729591836734694,0.956,"substantive"
"np","bam_fe","penalty",0.729591836734694,0.948,"substantive"
"pl","bam_fe","penalty",0.729591836734694,0.951,"substantive"
"np","bam_re","penalty",0.729591836734694,0.941,"substantive"
"pl","bam_re","penalty",0.729591836734694,0.939,"substantive"
"np","bam_fd","classic",0.747959183673469,1,"substantive"
"pl","bam_fd","classic",0.747959183673469,1,"substantive"
"np","bam_fe","classic",0.747959183673469,1,"substantive"
"pl","bam_fe","classic",0.747959183673469,1,"substantive"
"np","bam_re","classic",0.747959183673469,1,"substantive"
"pl","bam_re","classic",0.747959183673469,1,"substantive"
"np","bam_fd","penalty",0.747959183673469,0.951,"substantive"
"pl","bam_fd","penalty",0.747959183673469,0.949,"substantive"
"np","bam_fe","penalty",0.747959183673469,0.951,"substantive"
"pl","bam_fe","penalty",0.747959183673469,0.943,"substantive"
