"model","method","se_type","x","point_coverage","df_correction"
"np","bam_re","classic",0.692857142857143,0.991,"substantive"
"pl","bam_re","classic",0.692857142857143,0.992,"substantive"
"np","bam_fd","penalty",0.692857142857143,0.946,"substantive"
"pl","bam_fd","penalty",0.692857142857143,0.936,"substantive"
"np","bam_fe","penalty",0.692857142857143,0.955,"substantive"
"pl","bam_fe","penalty",0.692857142857143,0.937,"substantive"
"np","bam_re","penalty",0.692857142857143,0.931,"substantive"
"pl","bam_re","penalty",0.692857142857143,0.928,"substantive"
"np","bam_fd","classic",0.711224489795918,0.993,"substantive"
"pl","bam_fd","classic",0.711224489795918,0.993,"substantive"
"np","bam_fe","classic",0.711224489795918,0.996,"substantive"
"pl","bam_fe","classic",0.711224489795918,0.992,"substantive"
"np","bam_re","classic",0.711224489795918,0.992,"substantive"
"pl","bam_re","classic",0.711224489795918,0.989,"substantive"
"np","bam_fd","penalty",0.711224489795918,0.943,"substantive"
"pl","bam_fd","penalty",0.711224489795918,0.938,"substantive"
"np","bam_fe","penalty",0.711224489795918,0.949,"substantive"
"pl","bam_fe","penalty",0.711224489795918,0.94,"substantive"
"np","bam_re","penalty",0.711224489795918,0.924,"substantive"
"pl","bam_re","penalty",0.711224489795918,0.922,"substantive"
"np","bam_fd","classic",0.729591836734694,0.994,"substantive"
"pl","bam_fd","classic",0.729591836734694,0.996,"substantive"
"np","bam_fe","classic",0.729591836734694,0.996,"substantive"
"pl","bam_fe","classic",0.729591836734694,0.996,"substantive"
"np","bam_re","classic",0.729591836734694,0.995,"substantive"
"pl","bam_re","classic",0.729591836734694,0.995,"substantive"
"np","bam_fd","penalty",0.729591836734694,0.947,"substantive"
"pl","bam_fd","penalty",0.729591836734694,0.938,"substantive"
"np","bam_fe","penalty",0.729591836734694,0.941,"substantive"
